ID,LOCAL_DATE,DIRECTION_MAX_GUST,SPEED_MAX_GUST,SNOW_ON_GROUND,TOTAL_RAIN,TOTAL_PRECIPITATION,TOTAL_SNOW,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,MAX_TEMPERATURE,MEAN_TEMPERATURE,MIN_TEMPERATURE,PARAM,Date,Value,SYM
3053536.2011.7.10,7/10/2011 0:00,0.0,0.0,,,0.2,,3.9,0.0,48.0,95.0,19.0,14.1,9.1,1.0,7/10/2011,284.0,
3053536.2011.7.11,7/11/2011 0:00,34.0,32.0,,,0.0,,3.4,0.0,42.0,97.0,22.4,14.6,6.8,1.0,7/11/2011,259.0,
3053536.2011.7.12,7/12/2011 0:00,33.0,35.0,,,0.0,,1.6,0.0,43.0,91.0,22.2,16.4,10.5,1.0,7/12/2011,256.0,
3053536.2011.7.13,7/13/2011 0:00,0.0,0.0,,,2.1,,1.4,0.0,38.0,96.0,22.7,16.6,10.5,1.0,7/13/2011,284.0,
3053536.2011.7.14,7/14/2011 0:00,19.0,32.0,,,0.3,,4.7,0.0,33.0,98.0,19.9,13.3,6.7,1.0,7/14/2011,286.0,A
3053536.2011.7.15,7/15/2011 0:00,0.0,0.0,,,0.9,,3.7,0.0,39.0,93.0,19.7,14.3,8.8,1.0,7/15/2011,250.0,
3053536.2011.7.16,7/16/2011 0:00,0.0,0.0,,,0.0,,1.7,0.0,24.0,87.0,24.7,16.3,7.8,1.0,7/16/2011,222.0,
3053536.2011.7.17,7/17/2011 0:00,21.0,32.0,,,1.1,,1.4,0.0,22.0,98.0,24.7,16.6,8.5,1.0,7/17/2011,227.0,
3053536.2011.7.18,7/18/2011 0:00,18.0,33.0,,,2.4,,2.2,0.0,40.0,98.0,22.7,15.8,8.9,1.0,7/18/2011,252.0,
3053536.2011.7.19,7/19/2011 0:00,0.0,0.0,,,1.2,,4.7,0.0,45.0,97.0,19.4,13.3,7.1,1.0,7/19/2011,290.0,
3053536.2011.7.20,7/20/2011 0:00,0.0,0.0,,,1.5499999999999998,,4.0,0.0,,,20.1,14.0,7.8,1.0,7/20/2011,281.0,
3053536.2011.7.21,7/21/2011 0:00,0.0,0.0,,,1.9,,4.3,0.0,29.0,92.0,18.8,13.7,8.6,1.0,7/21/2011,248.0,
3053536.2011.7.22,7/22/2011 0:00,0.0,0.0,,,0.2,,5.6,0.0,31.0,98.0,17.450000000000003,12.399999999999999,2.0,1.0,7/22/2011,232.0,
3053536.2011.7.23,7/23/2011 0:00,0.0,0.0,,,0.3,,6.9,0.0,57.0,97.0,16.1,11.1,6.0,1.0,7/23/2011,195.0,
3053536.2011.7.24,7/24/2011 0:00,0.0,0.0,,,0.2,,4.8,0.0,33.0,99.0,23.0,13.2,3.3,1.0,7/24/2011,174.0,
3053536.2011.7.25,7/25/2011 0:00,0.0,0.0,,,0.1,,2.0,0.0,,,25.8,16.0,6.2,1.0,7/25/2011,175.0,
3053536.2011.7.26,7/26/2011 0:00,23.0,33.0,,,0.0,,4.4,0.0,34.0,94.0,21.2,13.6,6.0,1.0,7/26/2011,193.0,
3053536.2011.7.27,7/27/2011 0:00,25.0,35.0,,,0.0,,3.4,0.0,32.0,78.0,19.5,14.6,9.7,1.0,7/27/2011,193.0,
3053536.2011.7.28,7/28/2011 0:00,0.0,0.0,,,4.4,,3.6,0.0,35.0,97.0,20.5,14.4,8.2,1.0,7/28/2011,183.0,
3053536.2011.7.29,7/29/2011 0:00,0.0,0.0,,,0.2,,4.4,0.0,26.0,98.0,20.5,13.6,6.7,1.0,7/29/2011,199.0,
3053536.2011.7.30,7/30/2011 0:00,19.0,37.0,,,0.2,,3.7,0.0,22.0,98.0,26.6,14.3,1.9,1.0,7/30/2011,184.0,
3053536.2011.7.31,7/31/2011 0:00,0.0,0.0,,,9.0,,4.3,0.0,58.0,97.0,19.8,13.7,7.6,1.0,7/31/2011,200.0,
3053536.2011.8.1,8/1/2011 0:00,0.0,0.0,,,0.0,,4.2,0.0,25.0,98.0,20.9,13.8,6.7,1.0,8/1/2011,267.0,
3053536.2011.8.2,8/2/2011 0:00,0.0,0.0,,,0.0,,4.5,0.0,27.0,88.0,22.6,13.5,4.4,1.0,8/2/2011,218.0,
3053536.2011.8.3,8/3/2011 0:00,19.0,32.0,,,0.0,,4.3,0.0,42.0,84.0,20.4,13.7,7.0,1.0,8/3/2011,187.0,
3053536.2011.8.4,8/4/2011 0:00,0.0,0.0,,,0.2,,3.9,0.0,24.0,99.0,24.9,14.1,3.2,1.0,8/4/2011,168.0,
3053536.2011.8.5,8/5/2011 0:00,0.0,0.0,,,0.0,,2.9,0.0,25.0,98.0,27.3,15.1,2.9,1.0,8/5/2011,165.0,
3053536.2011.8.6,8/6/2011 0:00,28.0,35.0,,,14.6,,4.9,0.0,39.0,97.0,18.6,13.1,7.5,1.0,8/6/2011,220.0,
3053536.2011.8.7,8/7/2011 0:00,0.0,0.0,,,0.2,,5.9,0.0,60.0,97.0,17.0,12.1,7.2,1.0,8/7/2011,230.0,
3053536.2011.8.8,8/8/2011 0:00,0.0,0.0,,,0.0,,3.3,0.0,25.0,99.0,26.0,14.7,3.3,1.0,8/8/2011,190.0,
3053536.2011.8.9,8/9/2011 0:00,1.0,32.0,,,0.0,,2.7,0.0,24.0,98.0,26.4,15.3,4.1,1.0,8/9/2011,184.0,
3053536.2011.8.10,8/10/2011 0:00,0.0,0.0,,,0.5,,3.0,0.0,30.0,97.0,25.2,15.0,4.7,1.0,8/10/2011,185.0,
3053536.2011.8.11,8/11/2011 0:00,0.0,0.0,,,0.2,,2.8,0.0,34.0,98.0,23.8,15.2,6.5,1.0,8/11/2011,192.0,
3053536.2011.8.12,8/12/2011 0:00,0.0,0.0,,,0.2,,2.7,0.0,23.0,99.0,26.6,15.3,4.0,1.0,8/12/2011,188.0,
3053536.2011.8.13,8/13/2011 0:00,18.0,33.0,,,0.0,,1.2,0.0,23.0,93.0,27.1,16.8,6.5,1.0,8/13/2011,188.0,
3053536.2011.8.14,8/14/2011 0:00,30.0,32.0,,,3.3,,6.2,0.0,45.0,95.0,19.7,11.8,3.9,1.0,8/14/2011,189.0,
